LT,KM,KT,LB,Price,Kota/Kab,Provinsi,Type
620,7,8,236,2.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
619,4,3,300,2.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
618,1,3,150,1.000.000.000,Manado Kota,Sulawesi Utara,Rumah
612,2,5,305,3.000.000.000,Minahasa Utara Kab.,Sulawesi Utara,Rumah
610,5,5,750,19.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
609,5,5,300,3.800.000.000,Musi Banyuasin Kab.,Sumatra Selatan,Rumah
600,4,4,638,23.000.000.000,Semarang Kota,Jawa Tengah,Rumah
600,8,7,396,2.000.000.000,Padang Kota,Sumatra Barat,Rumah
600,5,5,350,7.000.000.000,Tangerang Kab.,Banten,Rumah
600,4,4,90,15.000.000.000,Surabaya Kota,Jawa Timur,Rumah
600,3,3,260,9.980.000.000,Kab. Badung,Bali,Rumah
600,3,9,164,1.200.000.000,Pekanbaru Kota,Riau,Rumah
600,5,6,400,2.500.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
600,7,6,750,11.900.000.000,Denpasar Kota,Bali,Rumah
600,6,5,750,11.900.000.000,Denpasar Kota,Bali,Rumah
600,4,4,450,2.400.000.000,Manado Kota,Sulawesi Utara,Rumah
600,4,>10,500,1.700.000.000,Manado Kota,Sulawesi Utara,Rumah
600,3,3,180,660.000.000,Bengkalis Kab.,Riau,Rumah
600,3,5,150,950.000.000,Pekanbaru Kota,Riau,Rumah
600,5,4,500,2.500.000.000,Pekanbaru Kota,Riau,Rumah
600,3,4,200,3.700.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
600,3,5,130,1.900.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
600,3,3,320,7.500.000.000,Batam Kota,Kepulauan Riau,Rumah
600,5,5,375,6.200.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
599,1,4,200,950.000.000,Kulon Progo Kab.,Yogyakarta D.I.,Rumah
598,4,6,598,3.000.000.000,Surakarta Kota,Jawa Tengah,Rumah
595,5,5,450,18.000.000.000,Kab. Badung,Bali,Rumah
595,5,5,300,5.000.000.000,Makassar Kota,Sulawesi Selatan,Rumah
590,5,5,800,17.500.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
587,5,3,348,1.200.000.000,Padang Pariaman Kab.,Sumatra Barat,Rumah
585,3,4,350,5.500.000.000,Semarang Kota,Jawa Tengah,Rumah
585,4,4,885,6.800.000.000,Batam Kota,Kepulauan Riau,Rumah
580,3,3,128,2.000.000.000,Palembang Kota,Sumatra Selatan,Rumah
579,9,>10,317,3.150.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
575,4,4,350,1.800.000.000,Pekanbaru Kota,Riau,Rumah
570,4,5,250,1.500.000.000,Padang Kota,Sumatra Barat,Rumah
570,4,4,716,16.152.000.000,Kab. Badung,Bali,Rumah
570,6,4,350,5.750.000.000,Padang Kota,Sumatra Barat,Rumah
569,2,3,200,1.600.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
564,4,6,200,3.800.000.000,Medan Kota,Sumatra Utara,Rumah
564,3,3,550,8.500.000.000,Kab. Badung,Bali,Rumah
560,4,7,1020,8.500.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
558,4,3,310,2.600.000.000,Pontianak Kota,Kalimantan Barat,Rumah
555,1,3,105,350.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
553,3,3,553,650.000.000,Aceh Barat Kab.,Aceh D.I.,Apartemen
550,3,5,600,3.900.000.000,Minahasa Utara Kab.,Sulawesi Utara,Rumah
546,>10,>10,850,6.500.000.000,Sintang Kab.,Kalimantan Barat,Rumah
541,6,6,0,3.500.000.000,Bandar Lampung Kota,Lampung,Rumah
540,3,7,350,1.100.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
536,4,3,355,6.700.000.000,Kab. Badung,Bali,Rumah
535,3,8,200,850.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
532,2,3,160,678.000.000,Pekanbaru Kota,Riau,Rumah
525,4,5,424,4.000.000.000,Sukoharjo Kab.,Jawa Tengah,Rumah
522,5,5,350,8.000.000.000,Palembang Kota,Sumatra Selatan,Rumah
520,1,1,520,4.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
519,2,2,180,1.450.000.000,Bandung Kab.,Jawa Barat,Rumah
514,4,4,300,1.400.000.000,Minahasa Utara Kab.,Sulawesi Utara,Rumah
